id,name,rating,number_of_rooms,available_rooms,price_per_night,amenities,description,place_id
85,Herman LLC,4,62,4,75631,et tempus semper est quam pharetra magna ac,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",841
86,Bergnaum Inc,2,76,1,84267,scelerisque quam turpis adipiscing lorem vitae,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",215
87,Rutherford-Dooley,4,51,5,57749,at velit eu est congue elementum,Fusce consequat. Nulla nisl. Nunc nisl.,719
88,Davis and Sons,3,99,4,17656,felis ut at dolor quis odio consequat,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,228
89,"Lang, Oberbrunner and Goldner",1,77,1,4814,vivamus tortor duis mattis egestas,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",916
90,Kub and Sons,1,55,1,14959,purus sit amet nulla quisque arcu libero rutrum,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,775
91,Carroll-VonRueden,4,91,4,37608,eros viverra eget congue eget,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",402
92,Fisher Inc,1,85,4,82501,nam nulla integer pede justo lacinia,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",587
93,"Tillman, Hartmann and Price",1,97,5,49234,neque libero convallis eget eleifend luctus,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",578
94,"Rau, McCullough and Lesch",2,44,2,86197,tortor duis mattis egestas metus aenean,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,262
95,Jacobson-Stokes,4,84,1,15672,erat nulla tempus vivamus in,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,507
96,Heaney-Quigley,2,50,5,80264,adipiscing lorem vitae mattis nibh ligula,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",144
97,"Volkman, Schuster and Waters",1,82,2,43407,purus phasellus in felis donec,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,679
98,"Torp, Hettinger and Herman",4,78,3,94287,nibh fusce lacus purus aliquet,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",349
99,Bednar-Heidenreich,5,39,2,22707,justo nec condimentum neque sapien,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",175
100,"Jakubowski, Kris and Johnson",5,65,2,31659,euismod scelerisque quam turpis adipiscing,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",138
101,King-Reilly,3,72,2,26249,et ultrices posuere cubilia curae duis,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",790
102,Carter and Sons,2,58,1,86729,est quam pharetra magna ac,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",458
103,Spencer-Bruen,1,25,2,99636,etiam justo etiam pretium iaculis justo in,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",33
104,Heidenreich LLC,4,92,3,44759,nulla suscipit ligula in lacus curabitur at,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,456
105,Kreiger and Sons,4,58,3,87149,interdum eu tincidunt in leo maecenas,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",309
106,Renner Group,5,66,1,20496,pulvinar nulla pede ullamcorper augue,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",946
107,Feest LLC,3,61,4,15505,odio justo sollicitudin ut suscipit a feugiat,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",119
108,DuBuque and Sons,1,100,3,75685,sit amet nulla quisque arcu libero rutrum,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",638
109,Klein-Reilly,1,69,3,12717,sociis natoque penatibus et magnis dis,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",594
110,"Schaden, Kilback and Cruickshank",2,21,2,76498,a pede posuere nonummy integer non,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",302
111,"Schaden, Jenkins and Langworth",5,30,2,55619,consequat metus sapien ut nunc vestibulum ante ipsum,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,730
112,"Kutch, Dibbert and Raynor",2,46,1,65440,proin interdum mauris non ligula pellentesque ultrices,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",345
113,Hudson and Sons,4,26,3,39046,lacus morbi sem mauris laoreet ut,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",50
114,Bechtelar Inc,2,41,2,92093,volutpat sapien arcu sed augue aliquam erat,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",483
115,Friesen Inc,2,49,2,71454,donec vitae nisi nam ultrices libero,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",132
116,Pouros LLC,1,24,2,49062,diam vitae quam suspendisse potenti nullam porttitor,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,255
117,Kuhic Group,1,56,1,60700,in sapien iaculis congue vivamus metus arcu,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",234
118,"Bayer, Schiller and Strosin",1,27,3,53644,nisl duis ac nibh fusce,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",569
119,McKenzie Inc,4,93,5,95036,amet sem fusce consequat nulla nisl nunc,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",936
120,"Wisoky, Aufderhar and Armstrong",5,88,4,71034,justo maecenas rhoncus aliquam lacus morbi quis,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",984
121,Armstrong-Schaefer,2,60,2,65975,luctus cum sociis natoque penatibus et magnis dis,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",105
122,"Harvey, Kub and Okuneva",3,31,2,74624,ac diam cras pellentesque volutpat dui maecenas tristique,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",762
123,Ullrich Inc,5,87,5,7094,sit amet turpis elementum ligula vehicula consequat,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",417
124,Lowe-Wisoky,5,39,2,35605,at lorem integer tincidunt ante,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,276
125,Runolfsdottir-Kemmer,4,31,4,91235,placerat praesent blandit nam nulla,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",971
126,"Abshire, Corkery and Kautzer",3,27,4,39941,integer non velit donec diam,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",364
127,Feil-Friesen,3,66,3,17447,est et tempus semper est quam,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",597
128,Quigley-Stokes,2,33,2,30017,suspendisse potenti in eleifend quam a,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",247
129,Rutherford LLC,2,76,5,49475,rutrum at lorem integer tincidunt ante,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",609
130,Kuvalis-Nicolas,3,30,3,87732,accumsan odio curabitur convallis duis consequat,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",884
131,O'Conner and Sons,2,46,2,29957,posuere felis sed lacus morbi sem,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",104
132,"Feeney, Considine and Dickinson",1,77,5,10278,suspendisse potenti cras in purus,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,249
133,"Sawayn, Koelpin and Mitchell",4,60,1,4812,sit amet lobortis sapien sapien non mi integer,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",901
134,Kertzmann Group,3,70,5,73686,integer aliquet massa id lobortis,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",553
135,Ferry-Ferry,5,92,4,80431,amet justo morbi ut odio,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",10
136,Bashirian LLC,5,32,5,85789,duis mattis egestas metus aenean,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",833
137,Witting-Kshlerin,5,72,2,4904,non velit nec nisi vulputate nonummy maecenas,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,612
138,Goyette LLC,3,30,3,635,vivamus in felis eu sapien,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",707
139,Jast Group,2,99,4,92118,pulvinar nulla pede ullamcorper augue a suscipit nulla,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",451
